Slice,Count,Total Area,Average Size,%Area,Mean,,Coupon
Experimento-143-Profundidad de enfoque extendida-13-Exportar imagen-08_m07_DAPI.tif,3630,12.62,0.003,78.837,255,,46
Experimento-143-Profundidad de enfoque extendida-13-Exportar imagen-08_m08_DAPI.tif,2109,14.338,0.007,89.565,255,,46
Experimento-143-Profundidad de enfoque extendida-13-Exportar imagen-08_m09_DAPI.tif,2929,13.381,0.005,83.591,255,,46
Experimento-143-Profundidad de enfoque extendida-13-Exportar imagen-08_m10_DAPI.tif,4639,10.946,0.002,68.376,255,,46
Experimento-143-Profundidad de enfoque extendida-13-Exportar imagen-08_m11_DAPI.tif,3088,12.81,0.004,80.024,255,,46
Experimento-143-Profundidad de enfoque extendida-13-Exportar imagen-08_m12_DAPI.tif,898,15.335,0.017,95.793,255,,46
Experimento-143-Profundidad de enfoque extendida-13-Exportar imagen-08_m13_DAPI.tif,1025,15.308,0.015,95.626,255,,46
Experimento-143-Profundidad de enfoque extendida-13-Exportar imagen-08_m14_DAPI.tif,2736,13.251,0.005,82.776,255,,46
Experimento-143-Profundidad de enfoque extendida-13-Exportar imagen-08_m15_DAPI.tif,3099,13.071,0.004,81.649,255,,46
Experimento-143-Profundidad de enfoque extendida-13-Exportar imagen-08_m16_DAPI.tif,3460,12.546,0.004,78.374,255,,46
Experimento-144-Profundidad de enfoque extendida-18-Exportar imagen-09_m01_DAPI.tif,3128,8.276,0.003,51.699,255,,46
Experimento-144-Profundidad de enfoque extendida-18-Exportar imagen-09_m02_DAPI.tif,3730,5.425,0.001,33.886,255,,46
Experimento-144-Profundidad de enfoque extendida-18-Exportar imagen-09_m03_DAPI.tif,3493,6.273,0.002,39.183,255,,46
Experimento-144-Profundidad de enfoque extendida-18-Exportar imagen-09_m04_DAPI.tif,3349,7.116,0.002,44.452,255,,46
Experimento-144-Profundidad de enfoque extendida-18-Exportar imagen-09_m05_DAPI.tif,3211,5.847,0.002,36.526,255,,46
Experimento-144-Profundidad de enfoque extendida-18-Exportar imagen-09_m06_DAPI.tif,3088,3.694,0.001,23.077,255,,46
Experimento-144-Profundidad de enfoque extendida-18-Exportar imagen-09_m07_DAPI.tif,2911,3.892,0.001,24.313,255,,46
Experimento-144-Profundidad de enfoque extendida-18-Exportar imagen-09_m08_DAPI.tif,3192,5.072,0.002,31.686,255,,46
Experimento-144-Profundidad de enfoque extendida-18-Exportar imagen-09_m09_DAPI.tif,3319,5.52,0.002,34.484,255,,46
Experimento-144-Profundidad de enfoque extendida-18-Exportar imagen-09_m10_DAPI.tif,3008,4.161,0.001,25.996,255,,46
Experimento-144-Profundidad de enfoque extendida-18-Exportar imagen-09_m11_DAPI.tif,3255,5.276,0.002,32.959,255,,46
Experimento-144-Profundidad de enfoque extendida-18-Exportar imagen-09_m12_DAPI.tif,3367,5.65,0.002,35.293,255,,46
Experimento-144-Profundidad de enfoque extendida-18-Exportar imagen-09_m13_DAPI.tif,3454,5.027,0.001,31.4,255,,46
Experimento-144-Profundidad de enfoque extendida-18-Exportar imagen-09_m14_DAPI.tif,2947,4.075,0.001,25.455,255,,46
Experimento-144-Profundidad de enfoque extendida-18-Exportar imagen-09_m15_DAPI.tif,3160,4.166,0.001,26.023,255,,46
Experimento-144-Profundidad de enfoque extendida-18-Exportar imagen-09_m16_DAPI.tif,3115,3.935,0.001,24.58,255,,46
Experimento-149-Profundidad de enfoque extendida-17-Exportar imagen-10_m01_DAPI.tif,3905,3.408,8.73E-04,21.29,255,,46
Experimento-149-Profundidad de enfoque extendida-17-Exportar imagen-10_m02_DAPI.tif,3062,2.95,9.63E-04,18.428,255,,46
Experimento-149-Profundidad de enfoque extendida-17-Exportar imagen-10_m03_DAPI.tif,3403,2.981,8.76E-04,18.619,255,,46
Experimento-149-Profundidad de enfoque extendida-17-Exportar imagen-10_m04_DAPI.tif,5061,3.921,7.75E-04,24.493,255,,46
Experimento-149-Profundidad de enfoque extendida-17-Exportar imagen-10_m05_DAPI.tif,3287,3.089,9.40E-04,19.296,255,,46
Experimento-149-Profundidad de enfoque extendida-17-Exportar imagen-10_m06_DAPI.tif,2560,2.038,7.96E-04,12.73,255,,46
